layer,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
1,dlzs_snap_k,float,25,0.9170388661226948,0.6086956521739131,0.9454545454545452,1200,111240,0
1,dlzs_snap_k,float,30,0.9238635093868026,0.6785714285714286,0.9545454545454537,1200,111240,0
1,dlzs_snap_k,float,35,0.9307823372202919,0.7333333333333333,0.9577205882352927,1200,111240,0
1,dlzs_snap_k,float,40,0.9370210938469263,0.7222222222222222,0.9648199445983372,1200,111240,0
1,dlzs_snap_k,float,45,0.9431103220203363,0.7631578947368421,0.9698898408812734,1200,111240,0
1,dlzs_snap_k,float,50,0.9482178729190422,0.7804878048780488,0.9724612736660925,1200,111240,0
1,dlzs_snap_k,quantized_exact,5,0.867810957705222,0.2,0.9363636363636357,1200,111240,0
1,dlzs_snap_k,quantized_exact,10,0.8927682654205749,0.4444444444444444,0.9539295392953924,1200,111240,0
1,dlzs_snap_k,quantized_exact,15,0.9031223463734587,0.5,0.9586038961038966,1200,111240,0
1,dlzs_snap_k,quantized_exact,20,0.9103793368903672,0.5789473684210527,0.9450686641697869,1200,111240,0
1,dlzs_snap_k,quantized_exact,25,0.9170351363503172,0.6086956521739131,0.9454545454545452,1200,111240,0
1,dlzs_snap_k,quantized_exact,30,0.9238671256368525,0.6785714285714286,0.9545454545454537,1200,111240,0
1,dlzs_snap_k,quantized_exact,35,0.9307865888324746,0.7333333333333333,0.9577205882352927,1200,111240,0
1,dlzs_snap_k,quantized_exact,40,0.9370193704256209,0.7222222222222222,0.9648199445983372,1200,111240,0
1,dlzs_snap_k,quantized_exact,45,0.9431085683987033,0.7631578947368421,0.9698898408812734,1200,111240,0
1,dlzs_snap_k,quantized_exact,50,0.9482179601339628,0.7804878048780488,0.9724612736660925,1200,111240,0
1,dlzs_snap_q,float,5,0.9013609289583112,0.2,0.9520833333333328,1200,111240,0
1,dlzs_snap_q,float,10,0.9141004011577643,0.3333333333333333,0.9635416666666673,1200,111240,1
1,dlzs_snap_q,float,15,0.9197438124170808,0.5333333333333333,0.9643527204502808,1200,111240,0
1,dlzs_snap_q,float,20,0.924355677619908,0.5789473684210527,0.9555555555555546,1200,111240,0
1,dlzs_snap_q,float,25,0.9289901951471927,0.5416666666666666,0.9555661729574781,1200,111240,0
1,dlzs_snap_q,float,30,0.9341864847855985,0.6,0.9614814814814813,1200,111240,0
1,dlzs_snap_q,float,35,0.9399172728943472,0.6470588235294118,0.9646291208791209,1200,111240,1
1,dlzs_snap_q,float,40,0.9451992730768417,0.725,0.971638655462184,1200,111240,0
1,dlzs_snap_q,float,45,0.9504182832137853,0.7441860465116279,0.9747876130446698,1200,111240,0
1,dlzs_snap_q,float,50,0.9550105688052518,0.7659574468085106,0.9775308641975295,1200,111240,1
1,dlzs_snap_q,quantized_exact,5,0.9013610105559625,0.2,0.9520833333333328,1200,111240,0
1,dlzs_snap_q,quantized_exact,10,0.9141101979985041,0.3333333333333333,0.9635416666666673,1200,111240,1
1,dlzs_snap_q,quantized_exact,15,0.9197466697409451,0.5333333333333333,0.9643527204502808,1200,111240,0
1,dlzs_snap_q,quantized_exact,20,0.9243577699145802,0.5789473684210527,0.9555555555555546,1200,111240,0
1,dlzs_snap_q,quantized_exact,25,0.9289877087739989,0.5416666666666666,0.9555661729574781,1200,111240,0
1,dlzs_snap_q,quantized_exact,30,0.9341887058483644,0.6,0.9614814814814813,1200,111240,0
1,dlzs_snap_q,quantized_exact,35,0.9399136712046289,0.6470588235294118,0.9646291208791209,1200,111240,1
1,dlzs_snap_q,quantized_exact,40,0.9451960344988133,0.725,0.971638655462184,1200,111240,0
1,dlzs_snap_q,quantized_exact,45,0.950420683044028,0.7441860465116279,0.9747876130446698,1200,111240,0
1,dlzs_snap_q,quantized_exact,50,0.9550128899129837,0.7659574468085106,0.9775308641975295,1200,111240,1
1,drum3,float,5,0.9075909461546762,0.2,0.96031746031746,1200,111240,3
1,drum3,float,10,0.9250436104799296,0.4444444444444444,0.9712858926342067,1200,111240,5
1,drum3,float,15,0.9316168454214314,0.6153846153846154,0.9701357466063341,1200,111240,7
1,drum3,float,20,0.9362641701634336,0.6666666666666666,0.9642857142857134,1200,111240,5
1,drum3,float,25,0.9409471010351584,0.6818181818181818,0.9615999999999993,1200,111240,7
1,drum3,float,30,0.9457040411699037,0.7307692307692307,0.9660633484162893,1200,111240,6
1,drum3,float,35,0.9505086114897657,0.7714285714285715,0.9716732542819493,1200,111240,6
1,drum3,float,40,0.9550857681451058,0.7837837837837838,0.9749999999999999,1200,111240,6
1,drum3,float,45,0.9593332771673857,0.8095238095238095,0.9797204713620165,1200,111240,10
1,drum3,float,50,0.9630942410834058,0.813953488372093,0.9799196787148591,1200,111240,11
1,drum3,quantized_exact,5,0.9076014775673754,0.2,0.96031746031746,1200,111240,3
1,drum3,quantized_exact,10,0.9250556333280152,0.4444444444444444,0.9712858926342067,1200,111240,5
1,drum3,quantized_exact,15,0.9316134622702358,0.6153846153846154,0.9701357466063341,1200,111240,7
1,drum3,quantized_exact,20,0.9362685085735688,0.6666666666666666,0.9642857142857134,1200,111240,5
1,drum3,quantized_exact,25,0.940948078263819,0.6818181818181818,0.9615999999999993,1200,111240,7
1,drum3,quantized_exact,30,0.9457052912351454,0.7307692307692307,0.9660633484162893,1200,111240,6
1,drum3,quantized_exact,35,0.9505100889234732,0.7714285714285715,0.9716732542819493,1200,111240,6
1,drum3,quantized_exact,40,0.9550885737991636,0.7837837837837838,0.9749999999999999,1200,111240,6
1,drum3,quantized_exact,45,0.9593330420528554,0.8095238095238095,0.9797204713620165,1200,111240,10
1,drum3,quantized_exact,50,0.963096162625067,0.813953488372093,0.9799196787148591,1200,111240,11
