sample,design,baseline,percent,mean_overlap,min_overlap,max_overlap,groups,query_rows,boundary_tie_rows
0,dlzs_snap_q,quantized_exact,5,0.9100823045267484,0.2,0.9827160493827158,72,5832,0
0,dlzs_snap_q,quantized_exact,10,0.9194482548392006,0.4444444444444444,0.979423868312757,72,5832,0
0,dlzs_snap_q,quantized_exact,15,0.9241716788013075,0.6153846153846154,0.9572649572649565,72,5832,0
0,dlzs_snap_q,quantized_exact,20,0.9286391511337035,0.6470588235294118,0.9578794480755254,72,5832,0
0,dlzs_snap_q,quantized_exact,25,0.9325886733294131,0.5238095238095238,0.9564961787184003,72,5832,0
0,dlzs_snap_q,quantized_exact,30,0.9375171467764063,0.56,0.9614814814814813,72,5832,0
0,dlzs_snap_q,quantized_exact,35,0.9423158790974883,0.5862068965517241,0.960834397616007,72,5832,0
0,dlzs_snap_q,quantized_exact,40,0.9469125410483424,0.6666666666666666,0.9655817433595203,72,5832,0
0,dlzs_snap_q,quantized_exact,45,0.9513587661735813,0.7567567567567568,0.9669669669669673,72,5832,0
0,dlzs_snap_q,quantized_exact,50,0.9557278597477334,0.7317073170731707,0.9707919301415232,72,5832,0
0,drum3,float,5,0.9152263374485593,0.4,0.9925925925925925,72,5832,0
0,drum3,float,10,0.9288980338363046,0.5555555555555556,0.9766803840877912,72,5832,0
0,drum3,float,15,0.9329956737364135,0.6153846153846154,0.9620132953466277,72,5832,0
0,drum3,float,20,0.93690994916485,0.6470588235294118,0.9636891793754532,72,5832,0
0,drum3,float,25,0.9411212358743212,0.7142857142857143,0.9570840681951783,72,5832,0
0,drum3,float,30,0.9459876543209879,0.72,0.9639506172839506,72,5832,0
0,drum3,float,35,0.9500851426138782,0.7586206896551724,0.9676458067262663,72,5832,0
0,drum3,float,40,0.9543116348671895,0.7878787878787878,0.9700710811821918,72,5832,0
0,drum3,float,45,0.9579996663329998,0.8108108108108109,0.9756423089756422,72,5832,0
0,drum3,float,50,0.9614908494763963,0.8292682926829268,0.9759108702198132,72,5832,0
0,drum3,quantized_exact,5,0.9152263374485593,0.4,0.9925925925925925,72,5832,0
0,drum3,quantized_exact,10,0.9288789818625202,0.5555555555555556,0.9766803840877912,72,5832,0
0,drum3,quantized_exact,15,0.9330088635644181,0.6153846153846154,0.9620132953466277,72,5832,0
0,drum3,quantized_exact,20,0.9369200355039126,0.6470588235294118,0.9636891793754532,72,5832,0
0,drum3,quantized_exact,25,0.9410967404794555,0.7142857142857143,0.9570840681951783,72,5832,0
0,drum3,quantized_exact,30,0.9459876543209877,0.72,0.9639506172839506,72,5832,0
0,drum3,quantized_exact,35,0.9500792299323587,0.7586206896551724,0.9676458067262663,72,5832,0
0,drum3,quantized_exact,40,0.9543220268528904,0.7878787878787878,0.9704451926674144,72,5832,0
0,drum3,quantized_exact,45,0.9579950320691064,0.8108108108108109,0.9756423089756422,72,5832,0
0,drum3,quantized_exact,50,0.9614824851952226,0.8292682926829268,0.9759108702198132,72,5832,0
0,drum4,float,5,0.9548010973936896,0.6,0.9950617283950617,72,5832,0
0,drum4,float,10,0.9612292333485742,0.6666666666666666,0.9903978052126198,72,5832,0
0,drum4,float,15,0.963305898491083,0.6923076923076923,0.9800569800569797,72,5832,0
0,drum4,float,20,0.9657871379004269,0.7647058823529411,0.9796659404502537,72,5832,0
0,drum4,float,25,0.9676987393036767,0.8095238095238095,0.9800117577895346,72,5832,1
0,drum4,float,30,0.9706995884773661,0.84,0.9807407407407401,72,5832,0
0,drum4,float,35,0.9730913864055629,0.8620689655172413,0.981268624946786,72,5832,0
0,drum4,float,40,0.9748877665544327,0.8484848484848485,0.9839132061354279,72,5832,0
0,drum4,float,45,0.9772272272272274,0.8918918918918919,0.9876543209876543,72,5832,0
0,drum4,float,50,0.9789178293017495,0.9024390243902439,0.9867509786208969,72,5832,0
0,drum4,quantized_exact,5,0.9548010973936896,0.6,0.9950617283950617,72,5832,0
0,drum4,quantized_exact,10,0.9612101813747898,0.6666666666666666,0.9903978052126198,72,5832,0
0,drum4,quantized_exact,15,0.9633190883190874,0.6923076923076923,0.9800569800569797,72,5832,0
0,drum4,quantized_exact,20,0.9657871379004269,0.7647058823529411,0.9796659404502537,72,5832,0
0,drum4,quantized_exact,25,0.9676824090404329,0.8095238095238095,0.9800117577895346,72,5832,1
0,drum4,quantized_exact,30,0.9706927297668037,0.84,0.9807407407407401,72,5832,0
0,drum4,quantized_exact,35,0.9731032117686015,0.8620689655172413,0.981268624946786,72,5832,0
0,drum4,quantized_exact,40,0.9748929625472831,0.8484848484848485,0.9839132061354279,72,5832,0
0,drum4,quantized_exact,45,0.9772179586994404,0.8918918918918919,0.9876543209876543,72,5832,0
0,drum4,quantized_exact,50,0.9789178293017495,0.9024390243902439,0.9867509786208969,72,5832,0
0,drum6,float,5,0.987997256515775,0.8,1.0,72,5832,0
0,drum6,float,10,0.9888736473098612,0.7777777777777778,0.9958847736625513,72,5832,0
0,drum6,float,15,0.9896196053603459,0.8461538461538461,0.9981006647673314,72,5832,0
0,drum6,float,20,0.990700395384491,0.8823529411764706,0.9963689179375452,72,5832,0
0,drum6,float,25,0.990773401267228,0.9047619047619048,0.9952968841857729,72,5832,0
0,drum6,float,30,0.9918861454046639,0.88,0.9965432098765432,72,5832,0
0,drum6,float,35,0.9926978383236366,0.9310344827586207,0.9970200085142614,72,5832,0
0,drum6,float,40,0.9929438417092737,0.9393939393939394,0.9981294425738869,72,5832,0
0,drum6,float,45,0.9936742297853408,0.9459459459459459,0.9976643309976643,72,5832,0
0,drum6,float,50,0.9940028103984743,0.926829268292683,0.997289972899729,72,5832,0
0,drum6,quantized_exact,5,0.9880658436213992,0.8,1.0,72,5832,0
0,drum6,quantized_exact,10,0.9888545953360767,0.7777777777777778,0.9958847736625513,72,5832,0
0,drum6,quantized_exact,15,0.9896327951883506,0.8461538461538461,0.9981006647673314,72,5832,0
0,drum6,quantized_exact,20,0.990700395384491,0.8823529411764706,0.9963689179375452,72,5832,0
0,drum6,quantized_exact,25,0.990773401267228,0.9047619047619048,0.9952968841857729,72,5832,0
0,drum6,quantized_exact,30,0.9918655692729766,0.88,0.9965432098765432,72,5832,0
0,drum6,quantized_exact,35,0.992686012960598,0.9310344827586207,0.9965942954448702,72,5832,0
0,drum6,quantized_exact,40,0.9929542336949742,0.9393939393939394,0.9981294425738869,72,5832,0
0,drum6,quantized_exact,45,0.9936881325770214,0.9459459459459459,0.9976643309976643,72,5832,0
0,drum6,quantized_exact,50,0.9940028103984743,0.926829268292683,0.997289972899729,72,5832,0
0,exact_int16,float,5,0.9998971193415637,0.8,1.0,72,5832,0
0,exact_int16,float,10,0.9999809480262155,0.8888888888888888,1.0,72,5832,0
0,exact_int16,float,15,0.9999736203439907,0.9230769230769231,1.0,72,5832,0
0,exact_int16,float,20,0.999969740982813,0.9411764705882353,1.0,72,5832,0
0,exact_int16,float,25,0.9999591743418905,0.9523809523809523,1.0,72,5832,0
0,exact_int16,float,30,0.9999657064471879,0.96,1.0,72,5832,0
0,exact_int16,float,35,0.9999763492739228,0.9655172413793104,1.0,72,5832,0
0,exact_int16,float,40,0.9999792160285987,0.9696969696969697,1.0,72,5832,0
0,exact_int16,float,45,0.9999768286805324,0.972972972972973,1.0,72,5832,0
